"","week_beginning","areauri","region","deaths"
"165",2020-04-06,"S12000028","South Ayrshire",15
"166",2020-04-06,"S12000039","West Dunbartonshire",17
"167",2020-04-06,"S12000006","Dumfries and Galloway",9
"168",2020-04-06,"S08000026","Shetland",4
"169",2020-04-06,"S08000030","Tayside",36
"170",2020-04-06,"S12000011","East Renfrewshire",15
"171",2020-04-06,"S08000019","Forth Valley",32
"172",2020-04-06,"S12000017","Highland",6
"173",2020-04-06,"S12000023","Orkney Islands",2
"174",2020-04-06,"S12000014","Falkirk",17
"175",2020-04-06,"S12000041","Angus",7
"176",2020-04-06,"S08000031","Greater Glasgow and Clyde",194
"177",2020-04-06,"S12000018","Inverclyde",29
"178",2020-04-06,"S12000010","East Lothian",21
"179",2020-04-06,"S08000022","Highland",13
"180",2020-04-06,"S12000048","Perth and Kinross",9
"181",2020-04-06,"S08000020","Grampian",35
"182",2020-04-06,"S08000016","Borders",15
"183",2020-04-06,"S12000050","North Lanarkshire",46
"184",2020-04-06,"S12000036","City of Edinburgh",61
"185",2020-04-06,"S12000034","Aberdeenshire",21
"186",2020-04-06,"S12000038","Renfrewshire",26
"187",2020-04-06,"S12000035","Argyll and Bute",7
"188",2020-04-06,"S12000020","Moray",2
"189",2020-04-13,"S12000006","Dumfries and Galloway",10
"190",2020-04-13,"S12000013","Na h-Eileanan Siar",0
"191",2020-04-13,"S12000035","Argyll and Bute",12
"192",2020-04-13,"S08000026","Shetland",1
"193",2020-04-13,"S12000028","South Ayrshire",26
"194",2020-04-13,"S12000014","Falkirk",16
"195",2020-04-13,"S12000023","Orkney Islands",0
"196",2020-04-13,"S12000018","Inverclyde",26
"197",2020-04-13,"S12000041","Angus",12
"198",2020-04-13,"S12000005","Clackmannanshire",4
"199",2020-04-13,"S08000022","Highland",21
"200",2020-04-13,"S12000042","Dundee City",29
"201",2020-04-13,"S12000010","East Lothian",20
"202",2020-04-13,"S12000039","West Dunbartonshire",17
"203",2020-04-13,"S12000040","West Lothian",8
"204",2020-04-13,"S12000045","East Dunbartonshire",12
"205",2020-04-13,"S12000019","Midlothian",16
"206",2020-04-13,"S12000017","Highland",9
"207",2020-04-13,"S92000003","Scotland",650
"208",2020-04-13,"S12000011","East Renfrewshire",14
"209",2020-04-13,"S12000050","North Lanarkshire",46
"210",2020-04-13,"S12000021","North Ayrshire",13
"211",2020-04-13,"S12000020","Moray",0
"212",2020-04-13,"S08000032","Lanarkshire",90
"213",2020-04-13,"S08000031","Greater Glasgow and Clyde",198
"214",2020-04-13,"S12000036","City of Edinburgh",64
"215",2020-04-13,"S08000030","Tayside",51
"216",2020-04-13,"S12000029","South Lanarkshire",44
"217",2020-04-13,"S12000047","Fife",39
"218",2020-04-13,"S12000048","Perth and Kinross",10
"219",2020-04-13,"S08000028","Western Isles",0
"220",2020-04-13,"S12000049","Glasgow City",96
"221",2020-04-13,"S12000030","Stirling",11
"222",2020-04-13,"S08000029","Fife",39
"223",2020-04-13,"S08000024","Lothian",108
"224",2020-04-13,"S12000027","Shetland Islands",1
"225",2020-04-13,"S08000016","Borders",7
"226",2020-04-13,"S08000025","Orkney",0
"227",2020-04-13,"S12000026","Scottish Borders",7
"228",2020-04-13,"S08000017","Dumfries and Galloway",10
"229",2020-04-13,"S08000019","Forth Valley",31
"230",2020-04-13,"S12000038","Renfrewshire",33
"231",2020-04-13,"S08000015","Ayrshire and Arran",51
"232",2020-04-13,"S12000033","Aberdeen City",18
"233",2020-04-13,"S12000034","Aberdeenshire",25
"234",2020-04-13,"S08000020","Grampian",43
"235",2020-04-13,"S12000008","East Ayrshire",12
"236",2020-04-20,"S12000005","Clackmannanshire",4
"237",2020-04-20,"S12000038","Renfrewshire",40
"238",2020-04-20,"S12000049","Glasgow City",125
"239",2020-04-20,"S12000027","Shetland Islands",0
"240",2020-04-20,"S12000011","East Renfrewshire",13
"241",2020-04-20,"S08000019","Forth Valley",34
"242",2020-04-20,"S12000042","Dundee City",27
"243",2020-04-20,"S08000024","Lothian",115
"244",2020-04-20,"S08000017","Dumfries and Galloway",3
"245",2020-04-20,"S08000016","Borders",3
"246",2020-04-20,"S12000039","West Dunbartonshire",19
"247",2020-04-20,"S12000020","Moray",2
"248",2020-04-20,"S08000022","Highland",22
"249",2020-04-20,"S12000041","Angus",19
"250",2020-04-20,"S08000028","Western Isles",0
"251",2020-04-20,"S08000031","Greater Glasgow and Clyde",232
"252",2020-04-20,"S12000021","North Ayrshire",11
"253",2020-04-20,"S08000015","Ayrshire and Arran",39
"254",2020-04-20,"S92000003","Scotland",663
"255",2020-04-20,"S12000017","Highland",8
"256",2020-04-20,"S12000013","Na h-Eileanan Siar",0
"257",2020-04-20,"S12000036","City of Edinburgh",73
"258",2020-04-20,"S12000035","Argyll and Bute",14
"259",2020-04-20,"S12000028","South Ayrshire",17
"260",2020-04-20,"S12000033","Aberdeen City",15
"261",2020-04-20,"S08000026","Shetland",0
"262",2020-04-20,"S08000032","Lanarkshire",83
"263",2020-04-20,"S12000023","Orkney Islands",0
"264",2020-04-20,"S08000030","Tayside",59
"265",2020-04-20,"S12000014","Falkirk",25
"266",2020-04-20,"S12000047","Fife",33
"267",2020-04-20,"S12000048","Perth and Kinross",13
"268",2020-04-20,"S12000019","Midlothian",15
"269",2020-04-20,"S12000026","Scottish Borders",3
"270",2020-04-20,"S12000006","Dumfries and Galloway",3
"271",2020-04-20,"S08000025","Orkney",0
"272",2020-04-20,"S12000030","Stirling",5
"273",2020-04-20,"S12000034","Aberdeenshire",23
"274",2020-04-20,"S08000020","Grampian",40
"275",2020-04-20,"S12000018","Inverclyde",17
"276",2020-04-20,"S12000008","East Ayrshire",11
"277",2020-04-20,"S12000010","East Lothian",15
"278",2020-04-20,"S08000029","Fife",33
"279",2020-04-20,"S12000040","West Lothian",12
"280",2020-04-20,"S12000029","South Lanarkshire",50
"281",2020-04-20,"S12000050","North Lanarkshire",33
"282",2020-04-20,"S12000045","East Dunbartonshire",18
"283",2020-04-27,"S12000047","Fife",25
"284",2020-04-27,"S08000030","Tayside",34
"285",2020-04-27,"S12000010","East Lothian",5
"286",2020-04-27,"S12000029","South Lanarkshire",37
"287",2020-04-27,"S92000003","Scotland",527
"288",2020-04-27,"S12000018","Inverclyde",6
"289",2020-04-27,"S12000050","North Lanarkshire",37
"290",2020-04-27,"S12000027","Shetland Islands",1
"291",2020-04-27,"S08000024","Lothian",99
"292",2020-04-27,"S12000034","Aberdeenshire",13
"293",2020-04-27,"S12000019","Midlothian",27
"294",2020-04-27,"S12000038","Renfrewshire",33
